pre_carga_curva_cierre_dia_local.zero_curve_date, pre_carga_curva_cierre_dia_local.tenor, pre_carga_curva_cierre_dia_local.curve_value, pre_carga_curva_cierre_dia_local.zero_curve
2020-10-27,4,3.38201862521492E-03,LIBORUSD12MBBG
2020-10-27,7,3.34282446767387E-03,LIBORUSD12MBBG
2020-10-27,14,3.36909391341722E-03,LIBORUSD12MBBG
2020-10-27,32,3.35956127027903E-03,LIBORUSD12MBBG
2020-10-27,61,3.36338875552711E-03,LIBORUSD12MBBG
2020-10-27,92,3.36347744597365E-03,LIBORUSD12MBBG
2020-10-27,120,3.36245035055338E-03,LIBORUSD12MBBG
2020-10-27,151,3.36307241437317E-03,LIBORUSD12MBBG
2020-10-27,182,3.36364646543053E-03,LIBORUSD12MBBG
2020-10-27,211,3.36309296365078E-03,LIBORUSD12MBBG
2020-10-27,243,3.36348895817862E-03,LIBORUSD12MBBG
2020-10-27,273,3.36304112928398E-03,LIBORUSD12MBBG
2020-10-27,306,3.36335510233421E-03,LIBORUSD12MBBG
2020-10-27,335,3.36336420439931E-03,LIBORUSD12MBBG
2020-10-27,365,3.36327369342038E-03,LIBORUSD12MBBG
2020-10-27,547,3.90821408202835E-03,LIBORUSD12MBBG
2020-10-27,732,4.18427186709969E-03,LIBORUSD12MBBG
2020-10-27,1096,5.35385459242521E-03,LIBORUSD12MBBG
2020-10-27,1461,6.3691479996244E-03,LIBORUSD12MBBG
2020-10-27,1826,7.37168246589848E-03,LIBORUSD12MBBG
2020-10-27,2556,9.46148563683047E-03,LIBORUSD12MBBG
2020-10-27,3652,1.20635207371542E-02,LIBORUSD12MBBG
2020-10-27,4383,0.013281544106184,LIBORUSD12MBBG
2020-10-27,5478,1.46155294708163E-02,LIBORUSD12MBBG
2020-10-27,7305,1.59358695243843E-02,LIBORUSD12MBBG
2020-10-27,9132,1.64740887877561E-02,LIBORUSD12MBBG
2020-10-27,10959,1.67193326084238E-02,LIBORUSD12MBBG
2020-10-27,1,7.30267245345306E-04,USDSOFR
2020-10-27,4,8.21591016795464E-04,USDSOFR
2020-10-27,7,8.34640507343165E-04,USDSOFR
2020-10-27,14,8.47694287726242E-04,USDSOFR
2020-10-27,32,8.55866876895872E-04,USDSOFR
2020-10-27,61,8.29130441781123E-04,USDSOFR
2020-10-27,92,8.39544228686373E-04,USDSOFR
2020-10-27,120,8.18653315946438E-04,USDSOFR
2020-10-27,151,7.99342077999698E-04,USDSOFR
2020-10-27,182,7.85613264927099E-04,USDSOFR
2020-10-27,211,7.5466709483818E-04,USDSOFR
2020-10-27,243,7.34955765896217E-04,USDSOFR
2020-10-27,273,7.25111232469988E-04,USDSOFR
2020-10-27,306,7.2511531829722E-04,USDSOFR
2020-10-27,335,7.14690944373597E-04,USDSOFR
2020-10-27,365,7.0800091064438E-04,USDSOFR
2020-10-27,547,6.1336272665824E-04,USDSOFR
2020-10-27,732,5.47701140301893E-04,USDSOFR
2020-10-27,1096,6.64109356062204E-04,USDSOFR
2020-10-27,1461,1.15014076552922E-03,USDSOFR
2020-10-27,1826,1.85709448035021E-03,USDSOFR
2020-10-27,2556,3.52622858128759E-03,USDSOFR
2020-10-27,3652,5.80230749742738E-03,USDSOFR
2020-10-27,4383,6.98838601819252E-03,USDSOFR
2020-10-27,5478,8.19661360686474E-03,USDSOFR
2020-10-27,7305,9.39150690706425E-03,USDSOFR
2020-10-27,9132,9.77999635568794E-03,USDSOFR
2020-10-27,10959,1.00214087843602E-02,USDSOFR
